smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
C=C(C)C(=O)CO,-73.08906719903348,89.27006820156542,91.45323768363687,dong_pio_liang.py,CBS-QB3,32.05454393250456,39.00545032429008,45.13228519595482,50.40502528321338,58.47847854530362,63.827025988011485,71.44376506964495
OC1CCOO1,-72.49448473334265,76.94526227336613,76.94526227336613,dong_pio_liang.py,CBS-QB3,23.586777545247035,29.925475443291013,35.2338369761281,39.54622577704606,46.22707015950954,50.90740164269599,57.26978480662406
C1COCO1,-72.49331123721933,70.83887272091329,72.21629930424135,dong_pio_liang.py,CBS-QB3,17.856300463339288,23.15343338520306,28.182296807688815,32.61206734901949,39.64191526429562,44.762567662059276,52.05368234124367
CC12COOCC1(COO)O2,-72.34868950052972,106.62810376228059,108.81127324435204,dong_pio_liang.py,CBS-QB3,45.10658450523748,55.316857071327725,64.050527103174,71.36802634535296,82.41808363503863,90.30388975653919,101.88306258669576
C=C(O)OC,-72.3364045894869,75.6999881532556,77.88315763532705,dong_pio_liang.py,CBS-QB3,24.951431198700956,30.4509397402172,34.42715036913002,37.43212440217775,42.12522669178907,45.47139428491778,50.309203799348936
CC1=CCC(=O)OC1,-72.25850921383797,88.32965099210844,90.51282047417989,dong_pio_liang.py,CBS-QB3,30.190046691754553,37.74621947009117,44.719138754385746,50.907742488355034,60.62013000422195,67.24326249190247,77.15368549390355
C=C(CO)C(C)=O,-72.09549909778114,88.82623644401689,91.00940592608833,dong_pio_liang.py,CBS-QB3,32.54375708580501,39.77483092877155,46.049869103742836,51.307695140633875,58.99980427007328,64.14724245636901,71.5738349387561
C#CCCC(=O)C(=O)O,-72.03647937006073,99.66142206807011,99.66142206807011,dong_pio_liang.py,CBS-QB3,37.49970554978845,44.33049738087067,49.95859002674952,54.650517002947915,61.96956571295934,67.2187721589847,74.455104522954
COCOO,-71.9949729261229,81.88097044797887,84.06413993005032,dong_pio_liang.py,CBS-QB3,26.09712130444457,29.719336630815597,32.74378525816204,35.44605401738386,40.22363723736454,43.94117771416062,49.66549122670482
O=C1C=CC(O)=C1O,-71.97575489844554,82.49830886787153,82.49830886787153,dong_pio_liang.py,CBS-QB3,29.597061151955074,36.74627003590823,41.93665966377152,45.76513065433463,51.44580923557134,55.14265536992352,59.42782399844288
O=CC(=O)C=O,-71.79441675766158,82.27285852759623,83.6502851109243,dong_pio_liang.py,CBS-QB3,21.47240197006155,24.139801932205433,26.505308145580788,28.574289272706835,31.860104301104467,34.227014828005736,37.54695937788682
CCC(C=O)OO,-71.77123368211737,92.73358982718942,93.5393327259328,dong_pio_liang.py,CBS-QB3,36.08802894685545,42.37931108033689,47.659798240472036,52.14752463201735,59.12332610100473,64.0000321859847,70.63493588143764
O=C=C(O)C=O,-71.23176139050528,76.06905683275696,76.06905683275696,dong_pio_liang.py,CBS-QB3,22.26572141393824,26.142696713092157,28.984804692016613,31.328305479811313,34.84204164755916,37.137958373279155,39.76161929933497
CC=C(O)C=O,-71.2303767930961,78.8383028171281,81.02147229919954,dong_pio_liang.py,CBS-QB3,24.27521747622843,29.762630388574987,34.78152642043737,39.23589655129927,46.45508853207896,51.76380815634799,59.21757568763564
CC(O)=C(C)OO,-71.10206916892197,90.36665783334297,94.73299679748585,dong_pio_liang.py,CBS-QB3,33.84551597960426,40.26452686316049,45.845410519076125,50.6719278182142,58.37397989563701,63.94906232644168,71.71487468455413
CC(=O)C(C)(C)C,-71.02920315435519,95.24185334772098,106.15770075807819,dong_pio_liang.py,CBS-QB3,34.844639753133805,42.862144011072246,50.11529119538241,56.581631373191094,67.18964173068247,75.00877863204589,86.95659888539724
C=C(C)C(C)(C)C1OC=C(C)C1=O,-70.8719085384146,122.11241504156573,130.84509296985152,dong_pio_liang.py,CBS-QB3,58.83497088807182,72.32602699493168,84.03862013230881,94.15260625590635,110.26386070569451,121.93735567439774,138.91961493003478
