smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
CC(=O)OC1OOCC1O[O],-104.19005570192351,111.82776763552607,114.01093711759752,dong_pio_liang.py,CBS-QB3,39.613966006101336,49.138933336258646,57.265904140088814,64.09939395771883,74.50376493158346,81.48551743223747,89.92887219386509
O=C([CH]O)CCO,-103.90226750156333,86.03378498667965,86.03378498667965,dong_pio_liang.py,CBS-QB3,32.31848262730516,40.694440783651245,46.97155038293501,51.71854080047776,58.911849969820786,63.767409792982804,69.81842874831263
CC(=O)OC(C)(C)[C]=O,-103.76180125906296,101.98540533586555,108.53491378207988,dong_pio_liang.py,CBS-QB3,41.16928317493112,49.00336742826855,55.76589425078992,61.57211326533455,70.74248702853532,77.29992836732313,86.43062680752988
CC(C)(C)OC(=O)CO[O],-103.73972120369905,114.76362099260858,123.49629892089436,dong_pio_liang.py,CBS-QB3,45.4379774203977,54.4776605608566,62.537881660699085,69.4937356203821,80.55929073612741,88.55930129728489,99.90501462370099
C[CH]C(=O)OC(C)=O,-103.71009177856162,103.16145741735079,107.52779638149367,dong_pio_liang.py,CBS-QB3,31.511083408055836,37.81609966618555,43.60993224972276,48.612153174778136,56.57883669314937,62.33922435281071,70.43911779483747
[O]OCC(=O)COC=O,-103.27482124702695,105.48595452440443,105.48595452440443,dong_pio_liang.py,CBS-QB3,35.92137088004953,42.17598392659555,47.52407576246893,52.015694783532595,58.84141049432878,63.40830170619501,68.90825587876911
CC(=O)C(O)(C=O)O[O],-103.10540201018537,101.95390144953092,102.75964434827429,dong_pio_liang.py,CBS-QB3,37.3414405688717,43.65883064520918,49.15017330809153,53.73656455010228,60.62034246044338,65.10970816818354,70.08569187663839
CC(=O)OC1OC1(C)O[O],-103.01539373760095,110.38053139433698,114.74687035847987,dong_pio_liang.py,CBS-QB3,38.93069505756577,46.46858563545392,53.33723603566685,59.20759141469945,68.39811624670251,74.8597381444742,83.44540173165157
CC(=O)OCCCCO[O],-102.87482258224641,122.80279437960601,124.98596386167746,dong_pio_liang.py,CBS-QB3,42.748740542816456,51.88746247831128,60.510333625769604,67.96448451403137,79.85237350076328,88.45127675189292,100.43634271989004
CC(=O)OC1(O[O])COOC1,-102.58127307875151,107.22736682993036,109.41053631200181,dong_pio_liang.py,CBS-QB3,41.944768334307206,50.559106496538675,57.991674579817406,64.35534905795322,74.30601662321854,81.22809509954493,90.02368469747512
CC(=O)OCC(C)C[O],-102.43026169201269,110.63251973605475,113.62143211686956,dong_pio_liang.py,CBS-QB3,41.08029289424952,50.19038971626003,58.42642096244862,65.50358384759657,76.68833955809525,84.68188384468452,95.71476118768761
CC(=O)OC1OC1CC[O],-102.40151068057449,111.64046944414072,113.82363892621217,dong_pio_liang.py,CBS-QB3,42.2458079988116,51.12818837367753,58.862101580536084,65.53954555737755,76.09043342553416,83.50649889232503,93.01925517039746
CC(C)(O[O])C(=O)O,-102.37525124342292,98.73550937340163,103.10184833754452,dong_pio_liang.py,CBS-QB3,36.679318664243205,42.26430291898509,46.88746173984703,50.96153473754722,57.81792105706976,62.93964886104206,70.53697218995876
CCC([O])COC(C)=O,-102.31614250395234,111.71944283793886,114.70835521875368,dong_pio_liang.py,CBS-QB3,40.33419680962752,48.803126422120805,56.816273233004296,63.7831424909532,75.00191520233523,83.2563413891587,95.24939344328155
[CH2]C(=O)OCC(C)(C)OO,-102.2164297580087,105.13100195226,110.87476749973095,dong_pio_liang.py,CBS-QB3,47.77664201825129,59.88593223903617,70.17473487393404,78.4580446541658,89.7008562051486,96.86202890686423,105.84823880439052
[O]C1OC(O)O1,-102.05612332761442,74.7363892113144,74.7363892113144,dong_pio_liang.py,CBS-QB3,21.00575757464704,26.228342928635566,30.48943113525812,33.69129694297592,38.1518432599754,40.965904320038234,44.03148084877868
CO[CH]CCOC(C)=O,-101.81618136831963,115.60930585470936,119.97564481885225,dong_pio_liang.py,CBS-QB3,39.111248467109,48.18645837666709,56.58819732007575,63.839600839977685,75.376182717762,83.69343938228297,95.24592154512355
[O]OC(=O)OC=O,-101.78787485787075,83.66371500678258,83.66371500678258,dong_pio_liang.py,CBS-QB3,26.319242324564247,30.24995367471052,32.65082870606358,34.5106469200666,37.094617415390964,38.54296304961759,39.56989920514103
C[C](C)C(OO)OC(C)=O,-101.5344026358762,116.41819742107415,122.96770586728847,dong_pio_liang.py,CBS-QB3,45.18171919327343,55.2287083745865,64.02733143529159,71.50957996089288,83.12631064615634,91.18531520003823,101.63829463596078
[O]OCC(=O)OCOO,-101.43960770733518,108.81119254709463,108.81119254709463,dong_pio_liang.py,CBS-QB3,37.60870911233518,43.50818373169741,48.515763842681636,52.703072151223516,59.01894539283882,63.191954534435936,68.09878966667779
[CH2]C(=O)OC(C)C(C)OO,-101.40303454144914,107.98461162894839,110.9735240097632,dong_pio_liang.py,CBS-QB3,46.40605085010935,57.822668350321685,67.95523635305689,76.70287567159434,89.98996788400581,98.27737699304014,107.67475481966302
